id： film5001 - 逆转裁判 逆転裁判,逆转裁判 逆転裁判,6.2,参评人数： 6142,类型： 喜剧 悬疑 犯罪,制片国家:  日本,语言:  日语,上映日期： 2012-02-11(日本),片长： 134分钟,又名:  反转审判 / Ace Attorney / Gyakuten saiban,导演: 三池崇史,编剧: 饭田武 大口幸子,主演: 成宫宽贵 / 斋藤工 / 桐谷美玲 / 大东骏介 / 檀丽 / 柄本明 / 石桥凌 / 余贵美子 / 平岳大 / 筱井英介 / 谷村美月 / 小日向文世 / 中村优子 / 蜷川美穗 / 村杉蝉之介 / 斋藤步 / 涉谷武尊 / 滨边美波 / 波冈一喜,豆瓣链接：https://movie.douban.com/subject/6402121/,IMDb链接： http://www.gyakutensaiban-movie.com https://www.imdb.com/title/tt1891974,"简介： 
                                　　近未来，各种恶性犯罪日益增长，为了应对这一现状，新的司法系统“序审裁判”得到推广。该系统允许辩护律师和检察官当庭辩论，并在三日之内迅速得到审判结果。当下，人称“天才检察官”的御剑怜侍（齐藤工 饰）大展才华，接连制胜，大有其恩师——40年间未尝败绩的完美检察官狩魔豪（石桥凌 饰）的风姿。与之相对，新人律师成步堂龙一（成宫宽贵 饰）的事业则步履维艰。某天，成步堂的上司绫里千寻（檀丽 饰）遭人杀害，千寻的妹妹真霄（桐谷美玲 饰）被指为凶手。成步堂自告奋勇为真霄辩护，与童年好友怜侍展开对决。谁知不久之后，怜侍也被当作另一宗命案的嫌疑犯逮捕，而这一切全都与15年前一起神秘的案件有关。成步堂能否成功为好友洗脱罪名呢？
                                     
                                　　本片根据同名游戏改编。
                        "
id： film5002 - 恋慕 민우씨 오는 날,恋慕 민우씨 오는 날,8.4,参评人数： 6149,类型： 剧情 短片,制片国家:  中国香港 / 韩国,语言:  韩语,上映日期： 2014-03-27(中国香港) 2014-12-18(韩国),片长： 26分钟,又名:  民宇归来那天 / Awaiting,导演: 姜帝圭,编剧: 姜帝圭,主演: 高修 / 文彩元,豆瓣链接：https://movie.douban.com/subject/25795966/,IMDb链接： https://www.imdb.com/title/tt4024128,"简介： 
                                　　韩国某座平凡的小镇，居住着美丽的女子莲熙（文彩元 饰）。她的生活单调无奇，当清晨的第一缕阳光射入房间，居住在美国的莎拉便准时打来电话。作为倾听者的莲熙耐心地听电话那头山南海北唠着家常，可每当提到结婚的问题，莎拉就变得怒气冲冲，言语刻薄。这究竟是为了什么？也许只有当事人才最清楚。记忆力逐渐衰退的莲熙，始终无法忘却那个令她挂念的男人珉宇。她叨念着珉宇回家的日期，偶尔去两人最常光顾的冷面店追寻往昔美好时光，冷冷地看着花枝招展的青年男女傻乎乎的从面前呼啸而过，日常里则更专注烹饪珉宇最爱吃的料理。时间凝滞，不着痕迹，莲熙仿佛永远生活在若即若离的幸福和期待之中……
                                     
                                　　本片为“美好2014 大师微电影”中的一部。
                        "
id： film5003 - Transit Girls トランジットガールズ,Transit Girls トランジットガールズ,7.5,参评人数： 6545,类型： 剧情 爱情 同性,制片国家:  日本,语言:  日语,上映日期： 2015-11-07(日本),片长：,又名:,导演: 前田真人,编剧: 加藤绫子,主演: 伊藤沙莉 / 佐久间由衣 / 伊藤健太郎 / 吉川爱 / 渡辺恵伶奈 / 尚玄 / 雾岛丽香 / Mummy-D,豆瓣链接：https://movie.douban.com/subject/26649901/,IMDb链接： http://www.fujitv.co.jp/transitgirls/ https://www.imdb.com/title/tt5138044,"简介： 
                                　　一年前母亲去世后，正就读高中三年级的女孩叶山小百合（伊藤莎莉 饰）便和父亲圭吾（Mummy-D 饰）相依为命。谁知在毫无征兆的情况下，父亲竟然再婚，他不仅带回来新的妻子（雾岛れいか 饰），还将对方的女儿志田由衣（佐久间由衣 饰）也带回家中。正值叛逆期的小百合自然无法接受，她感觉自己和死去的妈妈被爸爸背叛，因此大发脾气。就在关键时刻，由衣突如其来的一吻让小百合的内心颇受触动。自此之后，她这位陌生的姐姐升起极为复杂的情愫，不知不觉间便仿佛为对方所吸引。
                                     
                                　　重新组建的家庭里，女孩和女孩的故事悄然上演……
                        "
id： film5004 - OH必胜奉顺英 오 필승 봉순영,OH!必胜奉顺英 오! 필승 봉순영,6.7,参评人数： 5543,类型： 剧情 爱情,制片国家:  韩国,语言:  韩语,上映日期： 2004-09-13(韩国),片长：,又名:  Fengsy,导演: 池永洙,编剧: 姜银庆 ,主演: 安在旭 / 蔡琳 / 朴善英 / 柳镇,豆瓣链接：https://movie.douban.com/subject/2365103/,IMDb链接： http://www.kbs.co.kr/drama/feelyoung/index.html https://www.imdb.com/title/tt6663172,"简介： 
                                　　作为大财团会长的私生子，吴必胜（安在旭 饰）的身份却从来没得到承认过。自从父亲去世后，祖母更是不把必胜母子俩看在眼里。得不到重视的必胜于是破罐子破摔，成为了街头的小混混，对所有事都无所谓。逃到首都的必胜身无分文，经朋友那，认识了在超市工作的店员奉顺英（蔡琳 饰）。起初，顺英对必胜的印象可谓糟糕之极，但渐渐也被必胜单纯的内心所打动。
                                     
                                　　而另一方面，父亲去世后，祖母接管了父亲的企业，本打算让另外一个孙子继位，可他却意外死去。无可奈何之下，祖母想起了流落在外的私生子必胜。于是，街头混混吴必胜一夜间成为了大财团的继承人！落差感极大的故事就此拉开序幕……
                        "
id： film5005 - 末日哲学家 The Philosophers,末日哲学家 The Philosophers,6.1,参评人数： 6200,类型： 剧情 科幻 奇幻,制片国家:  美国 / 印度尼西亚,语言:  英语,上映日期： 2013-08-21(德国) 2014-02-07(美国),片长： 106分钟,又名:  末日公投(港) / After the Dark,导演: 约翰·赫德斯,编剧: 约翰·赫德斯,主演: 詹姆斯·达西 / 苏菲·洛 / 达里尔·沙巴拉 / 弗雷迪·史卓玛 / 瑞斯·维克菲尔德 / 邦妮·怀特 / 雅各布·雅迪斯 / 乔治·布莱顿 / 菲利帕·库特哈德 / 凯蒂·芬德莱 / 娜塔莎·戈特 / 泰瑟·哈桑 / 香奈儿·比安卡·何 / 达流士·胡马云 / 辛塔·劳拉·基尔,豆瓣链接：https://movie.douban.com/subject/21354138/,IMDb链接： https://www.imdb.com/title/tt1928340,"简介： 
                                　　毕业前的最后一堂哲学课，20名学生被逼参与思想实验。他们由班房跳进核辐射浩劫现场，若未能在防空洞争一席位，器官将瞬即被辐射尘贯穿，痛苦致死。然而，防空洞内的氧气及食物只够10人存活一年。
                                     
                                　　哲学生以抽签决定身份和技能。为延续人类命脉，他们需运用哲学逻辑，公开咨询并举手投票，选出10位最有价值的人物住进防空洞。聪明人比好人有资格留低？工程师的价值比诗人重要？一票延续一命，要牺牲谁去成就社会？
                        "
id： film5006 - 太空堡垒卡拉狄加  第一季 Battlestar Galactica Season 1,太空堡垒卡拉狄加  第一季 Battlestar Galactica Season 1,8.8,参评人数： 6708,类型： 科幻,制片国家:  美国 / 英国 / 加拿大,语言:  英语,上映日期： 2004-10-18,片长：,又名:  银河战星卡拉迪加 第一季 / 银河对决 第一季 / 星际大争霸 第一季 / 太空堡垒卡拉狄加 第一季,导演: Marita Grabiak,编剧: Glen A. Larson 罗纳德·D·摩尔 Christopher Eric,主演: 吉米·巴姆博 / 马修·本内特 / 詹姆斯·卡利斯 / 保罗·坎贝尔 / 翠西亚·希弗 / 爱德华·詹姆斯·奥莫斯 / 朴敏庆 / 妮基·克莱因,豆瓣链接：https://movie.douban.com/subject/3581476/,IMDb链接： http://www.scifi.com/battlestar/ https://www.imdb.com/title/tt0407362,"简介： 
                                    　　《太空堡垒卡拉狄加》（Battlestar Galactica）于2003年12月8日在美国科幻频道上开播迷你剧 ，之后在2004年10月18日于英国Sky One电视频道上首播第1季。该剧目前已获得包括2006年3项土星奖在内的7项各类大奖，包括5项艾美奖提名在内的11项各类提名，在收视率方面也成为美国科幻频道有史以来最受欢迎的原创剧集。该剧主要叙述的是人类和塞昂人之间的战争，及幸存的五万人类寻找新的家园地球的故事。
                                         
                                    　　在宇宙中未知的地方有一个由12个人类殖民地组成的星际国家，人类为了方便制造了一种拥有独立思想及感觉的机器人-Cylons为人类服务，但人们怎样也想不到这些本应是帮助人类的机器人竟会调转头对抗自已，Cylons起来反抗人类，人类与自已制造的Cylons之战争便开始...
                                         
                                    　　在经过数十年漫长、死伤无数的血战之后双方停火，Cylons离开了殖...
                            "
id： film5007 - 心竞技 Free to Play,心竞技 Free to Play,8.8,参评人数： 6432,类型： 纪录片,制片国家:  美国,语言:  英语 / 汉语普通话 / 俄语 / 捷克语 / 保加利亚语 / 日语 / 德语 / 西班牙语,上映日期： 2014-03-19(美国),片长： 75分钟,又名:  免费畅玩,导演: Valve,编剧: Benedict Lim Danil Ishutin Clinton Loomis,类型:,豆瓣链接：https://movie.douban.com/subject/25833522/,IMDb链接： http://freetoplaythemovie.com https://www.imdb.com/title/tt3203290,"简介： 
                                　　《Free To Play》是一部纪录长片。影片跟随三位不同国家的职业电竞选手，讲述他们在首届Dota 2国际邀请赛中为一百万美元的奖金奋力拼搏的故事。近几年来，电子竞技开始大幅流行，已经跻身于当今人口基数众多的竞技运动行列中。百万奖金的赛事改变了整个电竞圈的格局，而对于正值巅峰时期的顶尖选手来说，这样的机会也是千载难逢。经过Valve的精心打造，影片完整地记录了选手们在顶尖对决的过程中遇到的挑战和做出的牺牲。
                        "
id： film5008 - 恋空,恋空,6.8,参评人数： 5735,类型： 剧情,制片国家:  日本,语言:  日语,上映日期： 2008-08-02(日本),片长：,又名:,导演: 今井夏木 松田礼人,编剧: 渡边睦月,主演: 水泽绘玲奈 / 濑户康史 / 三浦翔平 / 永山绚斗 / 菊池亚希子 / 松下奈绪 / 羽田美智子 / 岸谷五朗,豆瓣链接：https://movie.douban.com/subject/3136534/,IMDb链接： http://www.tbs.co.jp/koi-zora/ https://www.imdb.com/title/tt1257542,"简介： 
                                　　田原美嘉（水泽惠丽奈 饰），一位平凡的高一学生。有疼爱她的爸妈，有照顾她的姐姐，日子本就这样平淡但温馨的度过。但因为她邂逅了樱井弘树（濑户康史 饰），所有的平静和之前的状态都被打破，而美嘉也被弘树所改造。美嘉在和弘树相处的过程中，体验了什么是爱，什么是被爱。她在青涩的恋爱里，体验恋爱的心慌意乱，不知所措；也体验恋爱的心满意足和美好。二人的相恋遭到了诸多阻拦，但最后得到了美嘉家人的祝福。二人本来开心期盼着幸福生活的来临，决定好好接受新生命的到来。但这个时候，命运又开了一个玩笑……
                                     
                                　　本剧改编自同名手机小说。原作者美嘉为了纪念逝去的男友，记录下了他们的故事。2007年曾改编成电影版，引起了大轰动。
                        "
id： film5009 - 飞天大盗 第六季 Hustle Season 6,飞天大盗 第六季 Hustle Season 6,8.9,参评人数： 5957,类型： 剧情 悬疑 犯罪,制片国家:  英国,语言:  英语,上映日期： 2010-01-05(英国),片长：,又名:  盗你没商量 第六季,导演: Iain B. MacDonald Sarah O'Gorman Luke Watson,编剧: Tony Jordan,主演: Adrian Lester / Robert Vaughn / Robert Glenister / Kelly Adams,豆瓣链接：https://movie.douban.com/subject/4230954/,IMDb链接： http://www.bbc.co.uk/programmes/b007gf9k https://www.imdb.com/title/tt1575879,"简介： 
                                　　英国BBC电视剧《Hustle》是一部另类的电视剧，目光对准了在伦敦市招摇撞骗的五个诈骗犯，虽然不像那些打打杀杀的犯罪分子们总是弄得血雨腥风，却依然看得人心惊肉跳。全剧由曾凭借《MI-5》获得英国学院奖的制作团队打造。
                                     
                                　　诈骗：一种无形的犯罪，手法是找出某人想要什么，然后再诱骗他们上当。Hustle是由MI-5的原班制作打造，描述五个一流的老千在伦敦市行骗的过程。他们专找具争议情的人物下手。他们的第一条行规是；不能骗老实人。
                        "
id： film5010 - 凶间雪山,凶间雪山,3.7,参评人数： 5535,类型： 惊悚 恐怖,制片国家:  中国大陆,语言:  汉语普通话,上映日期： 2012-12-21(中国大陆),片长： 88分钟,又名:  The Demon in the Mountain,导演: 周耀武,编剧: 周耀武,主演: 吴卓羲 / 邓丽欣 / 邓紫衣 / 唐宸禹 / 孙祖扬,豆瓣链接：https://movie.douban.com/subject/10478207/,IMDb链接： https://www.imdb.com/title/tt5559338,"简介： 
                                　　一对情侣与登山队队友攀登雪山，不料中途天气突变,但队员们执意要上山，于是男友（吴卓羲 饰）留下女友（邓丽欣 饰）看守营地。上山三天后登山队员依旧没有任何音讯。七天后，大家都回来了，唯独她男友没有回来。队员们说，在攻峰的第一天遇到雪崩，她的男友就不幸遇难！ 他们赶在头七前回来，心想死去男友可能会还魂回来找她。半夜，男友浑身是血的出现了，一把抓住她就跑，并告诉她第一天登山就发生了山难！其余的人都死了，只有他还活着。他们究竟谁是人？谁是鬼？
                                     
                                　　《凶间雪山》根据超人气鬼故事《相信谁》改编。
                        "
