id： film3001 - 四月一日灵异事件簿剧场版：仲夏夜之梦 劇場版xxxHOLiC 真夏ノ夜ノ夢,四月一日灵异事件簿剧场版：仲夏夜之梦 劇場版xxxHOLiC 真夏ノ夜ノ夢,8.6,参评人数： 10160,类型： 动画,制片国家:  日本,语言:  日语,上映日期： 2005-08-20(日本),片长： 60分钟,又名:  四月一日灵异记事簿剧场版：仲夏夜之梦,导演: 水岛努,编剧: CLAMP 樱井圭记 藤咲淳一,主演: 大原沙耶香 / 福山润 / 中井和哉 / 伊藤静 / 望月久代 / 菊地美香 / 松尾佳子 / 柚木凉香 / 松野太纪 / 楠见尚己 / 平川大辅 / 喜多川拓郎 / 福松进纱 / 小阪由佳 / 峰敦子 / 矢尾一树 / 入野自由 / 坂本真绫,豆瓣链接：https://movie.douban.com/subject/1764361/,IMDb链接： https://www.imdb.com/title/tt0466405,"简介： 
                                　　普通高中生四月一日君寻（福山润 配音），有着异于常人的体质，他可以看到并且吸引各种鬼怪，而如果和同学百目鬼静（中井和哉 配音）在一起时，就不会被鬼怪缠上。因为命运的牵引，四月一日走进了一家奇怪的店里，这是一家可以帮客人实现任何愿望的店，但是店主人壹原侑子（大原沙耶香 配音）同时要拿走和这愿望对等的代价。侑子答应帮四月一日实现远离鬼怪的愿望，而作为代价，四月一日要留在店里打工。
                                     
                                　　有一天，一个阴郁的少女走进店里，委托侑子实现自己的愿望。由此，侑子、四月一日和百目鬼三人来到了一所诡异的豪宅里。在这里，他们遇到一群奇奇怪怪的收藏家，同时，四月一日在这所大房子中遭遇了各种各样的灵异事件，犹如在仲夏夜里做了一场诡秘的梦……
                        "
id： film3002 - 废柴舅舅 第三季 Uncle Season 3,废柴舅舅 第三季 Uncle Season 3,9.2,参评人数： 12770,类型： 喜剧,制片国家:  英国,语言:  英语,上映日期： 2017-01-01(英国),片长：,又名:,导演: 奥利弗·瑞佛森,编剧: 奥利弗·瑞佛森 利拉·范登博格,主演: 尼克·赫尔姆 / 埃利奥特·斯佩勒-吉洛特 / 拉奎尔·卡西迪 / 黛西·海格达 / 丹尼尔·劳伦斯·泰勒 / 迪兰·莫兰 / 悉德妮·怀特,豆瓣链接：https://movie.douban.com/subject/26680329/,IMDb链接： https://www.imdb.com/title/tt5956466,"简介： 
                                　　《废柴舅舅》讲述的是无业游民音乐人Andy和他的侄子Errol相依为命，他们经常经历一些离奇的喜剧冒险。上季结束的时候Keith Allen客座出演Uncle的舅舅，Andy尝试和Rizzle Kicks的Jordan Stephens合作创作一首新单曲。
                                     
                                　　《废柴舅舅》的主演尼克·赫尔姆说“《废柴舅舅》”不仅仅是个家庭剧，整个制作组就像一个大家庭.""。第三季一共七集。
                        "
id： film3003 - 东方神娃,东方神娃,8.6,参评人数： 12062,类型： 动画 儿童 奇幻,制片国家:  中国大陆,语言:  汉语普通话,上映日期： 2005-12-30(中国大陆),片长：,又名:  东方神娃第1部,导演: 殷晓东,编剧: 殷晓东,主演: 罗玉婷 / 吴磊 / 范楚绒,豆瓣链接：https://movie.douban.com/subject/25788012/,IMDb链接：,"简介： 
                                　　女娲使用光明之土造出了率真善良，豪爽正义的龙娃。又用光明之水造出了英姿飒爽，温柔可爱的凤娃，龙娃和凤娃视女娲为他们的母亲。天空中出现了巨大的黑洞，整个人界即将面临灭顶之灾，女娲煮化了五色石，试图填补漏洞，却将龙娃和凤娃也封印在了天上，从此母子被迫分离。伤心的女娲日日思念自己的孩子们，流出的眼泪汇聚在大地之上成为了黄河。
                                     
                                　　一晃眼百年过去，人间遭到了邪恶势力的侵犯，而女娲亦被困在绝世界中，对一切都无能为力。就在这个节骨眼上，龙娃和凤娃在天界习得了一身好本领后踏上了寻找母亲的旅途，一路上，等待着他们的是强大而又邪恶的敌人们。
                        "
id： film3004 - 冤家宜结不宜解 冤家宜結不宜解,冤家宜结不宜解 冤家宜結不宜解,7.4,参评人数： 10044,类型： 喜剧 爱情,制片国家:  中国香港,语言:  粤语,上映日期： 1998-12-07(中国香港),片长：,又名:  Till When Do Us Part,导演: 萧显辉,编剧: 黄伟强,主演: 吴启华 / 郭可盈 / 何宝生,豆瓣链接：https://movie.douban.com/subject/2241523/,IMDb链接：,"简介： 
                                　　充（吴启华 饰）是个年轻有为的律师，因醉心事业而忘了顾及女友琴（吴美珩 饰），最后二人分手收场。充巧于同样因失恋伤心无比的美雪（郭可盈 饰），二人互相慰籍更闪电结婚。但甜蜜的生活维持了不久，两人的矛盾日渐浮上水面，最终离婚收场。但因为经济的问题，两人仍旧住在同一间屋子里，两人相处的时间多了，对对方的了解的多了，彼此之间的关系竟然产生了微妙变化，这时充的前女友琴再次出现，与充重燃爱火。美雪发现自己一直对充余情未了。
                                     
                                　　充的哥哥志（阮兆祥 饰）迎娶了美丽的白领静香（江欣燕 饰），但静香与婆婆关系恶劣，加上志不思上进，更怀疑静香，恩爱夫妻也将面临婚变。分手后的静香受到了他人的追求，却发现自己怀孕了……
                        "
id： film3005 - 海盗 해적 : 바다로 간 산적,海盗 해적 : 바다로 간 산적,6.6,参评人数： 11405,类型： 动作 冒险,制片国家:  韩国,语言:  韩语 / 汉语普通话,上映日期： 2014-08-06(韩国),片长： 130分钟,又名:  海贼：汪洋争霸(港) / 海盗：奔向大海的山贼 / 海盗：下海的山贼 / 海贼 / Haejuk: Badaro Gan Sanjuk / The Pirates,导演: 李石勋,编剧: 千成日 李石勋,主演: 金南佶 / 孙艺珍 / 崔雪莉 / 柳海真 / 李璟荣 / 申正根 / 金太祐 / 朴哲民 / 赵达焕 / 曹熙奉 / 李伊庚 / 金元海 / 吴达洙 / 郑承华 / 安内相,豆瓣链接：https://movie.douban.com/subject/24879819/,IMDb链接： https://www.imdb.com/title/tt3485166,"简介： 
                                　　《海盗》以朝鲜建国初期为背景，讲述了为了捕获一只吞掉玉玺的鲸鱼而分开陆地的一伙男山贼和一群女海盗在茫茫大海上的新奇遭遇。该片是韩国首部海洋冒险题材影片。
                        "
id： film3006 - 派遣员的品格 ハケンの品格,派遣员的品格 ハケンの品格,8.3,参评人数： 12201,类型： 剧情 喜剧,制片国家:  日本,语言:  日语,上映日期： 2007-01-10(日本),片长：,又名:  派遣社员的品格 / 派遣的品格 / Haken No Hinkaku,导演: 南云圣一 庐山裕子,编剧: 中园美保,主演: 筱原凉子 / 加藤爱 / 小泉孝太郎 / 大泉洋 / 城田优 / 板谷由夏 / 胜地凉,豆瓣链接：https://movie.douban.com/subject/2040834/,IMDb链接： https://www.imdb.com/title/tt0997022,"简介： 
                                　　新春伊始，S&F公司迎来了一位新派遣员：大前春子（篠原涼子饰），态度傲慢又冷淡，一出场就摆出大牌的架子，声明自己绝不加班，也只做职责范围内的事，迅速引起一片反感。
                                     
                                　　一般的派遣员，不仅工资是以微薄的时薪计算，还处处遭到社员的排挤，和社员的待遇相比可谓是千差万别。可春子却讪笑派遣员的存在是由于社员的无能造成的，不由让冲动的主任东海林（大泉洋饰）与其大吵起来。
                                     
                                　　春子被分配到市场部，主任里中（小泉孝太郎饰）是一个脾气温顺，但有些懦弱的男人。在接连发生的几桩事件中，关键时刻的危机都由春子完美化解，让众人大跌眼镜，春子在众人心中的形象也渐渐扭转……
                        "
id： film3007 - 樱桃小丸子 ちびまる子ちゃん,樱桃小丸子 ちびまる子ちゃん,9.1,参评人数： 7387,类型： 动画 儿童,制片国家:  日本,语言:  日语,上映日期： 1990-12-15(日本),片长： 93分钟,又名:  樱桃小丸子 剧场版 / 樱桃小丸子：友情岁月 / 樱桃小丸子：大野君和杉山君 / Chibi Maruko Chan Movie: Ono & Sugiyama,导演: 芝山努 須田裕美子,编剧: さくらももこ 樱桃子,主演: TARAKO / 水谷优子 / 屋良有作 / 鈴木みえ / 富山敬 / 佐々木優子 / 山口胜平 / 水原リン / 菊池正美 / 渡边菜生子,豆瓣链接：https://movie.douban.com/subject/3091208/,IMDb链接： https://www.imdb.com/title/tt2167725,"简介： 
                                　　正在上小学三年级的樱桃小丸子（Tarako 配音），因班长丸尾末夫（飞田展男 配音）提出了抽签换座位的要求，抽到了她不喜欢的调皮同学大野健一（山口胜平 配音）跟彬山聪（真山亚子 配音）同桌。而且和最好的同学小玉（渡辺菜生子 配音）分了桌。大野和彬山是一对好朋友，他们虽然总是抄袭作业欺负同学，可他们参加劳动时非常能干，学校有活动配合的也很默契。学校要开运动会，小丸子和上六年级的姐姐樱杏子(水谷优子 配音)都要参加，在运动会开始时爸爸樱宏志（屋良有作 配音）妈妈小林堇（一龙斋贞友 配音）也来给她们加油，小丸子参加的借物竟赛时多亏大野和杉山的帮助取得了第二名。男生骑马打仗比赛，因大野没发挥好以至最后输了比赛，大野和彬山这对最要好的朋友因此友谊出现了裂痕。赌气不说话的两人，转眼来到了平安夜的合唱比赛。一场大野的危机即将降临，这是否是二人关系的转捩点呢？
                        "
id： film3008 - 007之海底城 The Spy Who Loved Me,007之海底城 The Spy Who Loved Me,7.1,参评人数： 6229,类型： 动作 惊悚 冒险,制片国家:  英国,语言:  英语 / 意大利语 / 阿拉伯语,上映日期： 1977-07-07,片长： 125 分钟,又名:  铁金刚勇破海底城 / 海底城 / 爱我的间谍,导演: 刘易斯·吉尔伯特,编剧: 克里斯托弗·伍德 理查德·麦鲍姆 伊恩·弗莱明,主演: 罗杰·摩尔 / 芭芭拉·贝芝 / 库尔德·于尔根斯 / 理查德·基尔 / 卡罗琳·莫罗,豆瓣链接：https://movie.douban.com/subject/1292938/,IMDb链接： https://www.imdb.com/title/tt0076752,"简介： 
                                　　近日，英国、苏联两国核子潜艇竟然相继离奇失踪了！这一现象引起了英国军方的高度重视，当然又到了王牌特工007邦德（罗杰•摩尔 Roger Moore 饰）的出场时间。邦德经过调查终于发现幕后的黑手原来就是世界巨富航运业大亨史登堡，他为实现自己征服世界的野心，建立了一座海底 城。史登堡高薪聘请科学家研发出了潜水艇跟踪系统，把把英、苏核子动力潜艇占为己有，他计划利用核子飞弹将纽约和莫斯科炸毁，实现一次毁灭两个超级强国的野心。007即将进入海底城阻止这个狂人的疯狂计划。
                        "
id： film3009 - 所有美好的东西 All Good Things,所有美好的东西 All Good Things,6.7,参评人数： 10842,类型： 剧情 悬疑 惊悚,制片国家:  美国,语言:  英语,上映日期： 2010-11-05(美国视频点播) 2010-12-03(美国部分上映),片长： 101 分钟,又名:  美丽破绽(台) / 好事不断,导演: 安德鲁·杰瑞克奇,编剧: 安德鲁·杰瑞克奇 马克·斯默林,主演: 瑞恩·高斯林 / 克斯汀·邓斯特 / 克里斯汀·韦格 / 弗兰克·兰格拉 / 莉莉·拉贝,豆瓣链接：https://movie.douban.com/subject/2974280/,IMDb链接： https://www.imdb.com/title/tt1175709,"简介： 
                                　　影片根据纽约历史上最声名狼藉的谋杀悬案改编。
                                     
                                　　1973年纽约地产富豪的儿子Robert Durst（瑞恩·高斯林 Ryan Gosling 饰）娶了美丽的穷学生Kathleen McCormack（克斯汀·邓斯特 Kirsten Dunst 饰）。两人婚后离开 城市，到乡村享受了一段恬静的时光，当返程时卡蒂回到了学校继续学业。一切看似幸福，可1982年Kathleen突然失踪寻访不得。2000年Durst的好友Susan Berman被发现死在家中，20年前的失踪案被重新唤起，Durst因这两个案件受到询问，但都因为证据不足而未受起诉。2001年Durst的邻居Morris Black被杀，尸体被分解，他再一次受到怀疑被起诉，可经著名律师辩护后被无罪释放。直到2004年再次接受审判Durst最终被判5年监禁，媒体将""百万富翁凶手""的名号赠予他。
                        "
id： film3010 - 只要你说你爱我 好きっていいなよ。,只要你说你爱我 好きっていいなよ。,5.4,参评人数： 10304,类型： 爱情,制片国家:  日本,语言:  日语,上映日期： 2014-07-12(日本),片长： 103分钟,"又名:  只要你说你爱我 真人版 / Sukitte Ii nayo / Say ""I Love You""",导演: 日向朝子,编剧: 日向朝子 葉月かなえ(原作),主演: 川口春奈 / 福士苍汰 / 市川知宏 / 足立梨花 / 永濑匡 / 西崎莉麻 / 山本凉介 / 八木亚里纱,豆瓣链接：https://movie.douban.com/subject/24869824/,IMDb链接： http://sukinayo.jp https://www.imdb.com/title/tt3088084,"简介： 
                                　　东明高中的黑泽大和（福士苍汰 饰）是所有女孩崇拜追逐的对象，而他在一次意外遭遇后，偏偏对几乎没有人注意的女孩橘梅（川口春奈 饰）产生了兴趣。他自顾自将电话号码留给对方，偏巧小梅某晚被人跟踪，不得已打电话给黑泽，赶来解围的黑泽借机夺去了女孩的初吻。当年因某起事件，小梅封锁了自己的内心，可是阳光开朗的黑泽却蛮横地开启了她的心扉。随着交往时间的延长，他们对彼此的了解也越来越深。曾经单调的校园生活变得多姿多彩，当然悲伤和苦涩则成为恋爱之路上不可或缺的调味剂……
                                     
                                　　本片根据漫画家葉月かなえ的同名原作改编。
                        "
