id： film2001 - 美丽人生 ビューティフルライフ,美丽人生 ビューティフルライフ,8.3,参评人数： 17681,类型： 剧情 爱情,制片国家:  日本,语言:  日语,上映日期： 2000-01-16(日本),片长：,又名:  Beautiful Life,导演: 生野慈朗 土井裕泰,编剧: 北川悦吏子,主演: 木村拓哉 / 常盘贵子 / 水野美纪 / 池内博之 / 渡部笃郎 / 原千晶 / 小雪 / 茂吕师冈 / 的场浩司 / 大森晓美 Akemi Ohmori / 河原崎建三 / 西川贵教,豆瓣链接：https://movie.douban.com/subject/1465021/,IMDb链接： https://www.imdb.com/title/tt0233307,"简介： 
                                　　冲岛佟二（木村拓哉 饰）是人气美发店HOT LIP的造型师，才华横溢却因个性不受欢迎，且被同期入店又擅于讨客人及店长欢心的川村悟视为竞争对手。佟二到图书馆借阅美发资料，邂逅在馆内工作的美丽女孩町田杏子（常盘贵子 饰）。杏子是必须依靠轮椅生活的残疾人士，虽然外表开朗乐观，身理缺陷依然令她怯于享受正常恋爱。佟二力邀杏子担任自己的发模，数次接触中两人由误解到相互吸引，关系逐渐变得密切。尽管这段外在条件不平等的恋情受到世俗偏见与旁人的阻挠，杏子病情的恶化也增加了未来的不确定性，但两人始终怀抱着美好的信念，为共同创造美丽的人生努力着……
                                     
                                　　本剧曾创下最终话41.3%的近30年日剧单集最高收视纪录，并包揽第二十四回日剧学院赏最优秀作品赏、主演男/女优赏、助演男/女优赏、监督赏、脚本赏等11项大奖。
                        "
id： film2002 - 南汉山城 남한산성,南汉山城 남한산성,7.9,参评人数： 19156,类型： 剧情 历史 战争,制片国家:  韩国,语言:  韩语 / 满语,上映日期： 2017-10-03(韩国),片长： 139分钟,又名:  The Fortress,导演: 黄东赫,编剧: 黄东赫 金薰,主演: 李秉宪 / 金允石 / 朴海日 / 高修 / 朴熙顺 / 宋永彰 / 赵宇镇 / 李大卫 / 许成泰 / 金范来 / 赵雅仁 / 陈善圭 / 柳顺雄 / 朴智一 / 崔钟律 / 文昌吉 / 金重基 / 申基俊 / 宋亨秀,豆瓣链接：https://movie.douban.com/subject/26800978/,IMDb链接： https://www.imdb.com/title/tt7160176,"简介： 
                                　　影片根据2007年出版的韩国同名畅销历史小说改编拍摄，以1636年仁祖14年的丙子胡乱为背景，讲述了被后金（清）军队逼至南汉山城进退维谷的朝鲜王室在紧迫的47日之内发生的故事。
                        "
id： film2003 - 我的公主 마이 프린세스,我的公主 마이 프린세스,6.7,参评人数： 20024,类型： 喜剧 爱情,制片国家:  韩国,语言:  韩语,上映日期： 2011-01-05(韩国),片长：,又名:  My Princess,导演: 权锡章,编剧: 张英实 ,主演: 宋承宪 / 金泰熙 / 朴艺珍 / 柳秀荣 / 李顺载,豆瓣链接：https://movie.douban.com/subject/4826770/,IMDb链接： http://www.imbc.com/broad/tv/drama/myprincess/ https://www.imdb.com/title/tt2375282,"简介： 
                                　　考古专业的学生李雪（金泰熙 饰）昨天还只是名平凡的再平凡不过的学生，但一夜醒来，她居然就成了大韩民国皇室的公主！节俭的生活被锦衣玉食所取代；课本知识被各种社交礼仪所取代，这不是梦，这是李雪的真实生活。外人看起来值得艳羡的巨变，在李雪这却是各种不适应。而其中最令她烦恼的便是她的家庭老师朴海英（宋承宪 饰）。大韩民国最强大的财阀唯一的继承人，同时还身兼韩国外交官，外表还很英俊。与这样一名家庭老师相伴，李雪无疑成了万千韩国女性妒忌的对象。但在李雪眼里，朴海英只是个被上天派来折磨她的魔王。
                                     
                                　　二人的相处充满摩擦，看对方互不顺眼的李雪和海英却在相处的过程中日久生情。但通往幸福的道路从来不可能一帆风顺，但王子终究会牵起公主的手，从此幸福的生活着。
                        "
id： film2004 - 东京少年 東京少年,东京少年 東京少年,6.6,参评人数： 16702,类型： 爱情 悬疑,制片国家:  日本,语言:  日语,上映日期： 2008-02-02,片长： 95分钟,又名:  Tokyo Boy / Tôkyô Shônen,导演: 平野俊一,编剧: 渡边睦月,主演: 堀北真希 / 石田卓也 / 平田满 / 草村礼子,豆瓣链接：https://movie.douban.com/subject/2976072/,IMDb链接： http://w3.bs-i.co.jp/cinemadrive/boy/ https://www.imdb.com/title/tt1179301,"简介： 
                                　　少女藤木美奈斗（堀北真希 饰）有一个无话不谈的笔友奈特（意为“骑士”），生活中发生的大小事她都与之倾诉。在士多店打工的美奈这天遇见了男生唐泽秀（石田卓也 饰）并一见钟情。阿秀热爱摄影，却迫于医学家族的压力一直努力考取大学医学专业，两度落榜的他还在苦闷地奋斗中。阿斗将自己的倾心告诉奈特，却被奈特反对。然而阿斗这次仍然听取了自己的心意，向阿秀表白。
                                     
                                　　在二人交往的过程中，阿斗发现自己会突然消失记忆，甚至手机中存储的阿秀的照片以及号码都会不见。困惑的她怕被阿秀嫌弃，一直保守着这个秘密。随着失忆的情况发生次数越来越多，阿斗鼓励她去他父亲的医院检查。检查结果出来后，阿斗却提出了分手。
                                     
                                　　伤心的阿秀接受了这个结局，她渴望这时能见到奈特，得到奈特真人的慰藉。然而无论她如何苦等，奈特也没有出现，直到这晚，她得到一串钥匙，当她启开秘密的大门，惊讶地发现了奈特是谁。
                        "
id： film2005 - EERIE~看不见的脸 イアリー 見えない顔,EERIE~看不见的脸 イアリー 見えない顔,8.5,参评人数： 20193,类型： 剧情 悬疑,制片国家:  日本,语言:  日语,上映日期： 2018-08-04(日本),片长：,又名:  Eerie Mienai Kao,导演: 森淳一,编剧: 武井彩,主演: 小田切让 / 仲里依纱 / 黑岛结菜 / 尾形一成 / 中村育二 / 山中聪 / 内田春菊 / 月船沙罗罗 / 相筑彰子 / 佐户井贤太 / 佐藤流司 / 森七菜 / 真琴翼 / 田中要次,豆瓣链接：https://movie.douban.com/subject/30203507/,IMDb链接： http://www.wowow.co.jp/dramaw/eerie https://www.imdb.com/title/tt8924872,"简介： 
                                　　大学教授广川诚司（小田切让）的妻子因病亡故，在葬礼的那天晚上，一位神秘女性拜访他，但完全看不到人。之后，广川所在大学的总长也突然去世，新总长的选举引发了一系列的猜忌矛盾，奇怪的事越来越多，甚至周围的垃圾堆裡还发现了尸体。而广川周遭的人也慢慢出现了违和感，暗自积极于总长选举的同僚， 妻子生前同事水岛丽（仲里依纱），恐怖与不安的气氛逐渐蔓延……
                        "
id： film2006 - 单车少年 Le gamin au vélo,单车少年 Le gamin au vélo,8.1,参评人数： 18283,类型： 剧情,制片国家:  比利时 / 法国 / 意大利,语言:  法语,上映日期： 2011-05-18(法国),片长： 87分钟,又名:  骑单车的男孩(台) / 单车男孩(港) / 骑脚踏车的小男生 / Boy with a Bike / Set Me Free / The Kid with a Bike,导演: 让-皮埃尔·达内 吕克·达内,编剧: 吕克·达内 让-皮埃尔·达内,主演: 塞西尔·德·弗朗斯 / 托马斯·多雷 / 杰瑞米·雷乃 / 法布里齐奥·隆吉奥内 / 埃贡·迪·马特奥 / 奥利维埃·古尔梅,豆瓣链接：https://movie.douban.com/subject/5972040/,IMDb链接： http://www.legaminauvelo-lefilm.com https://www.imdb.com/title/tt1827512,"简介： 
                                    　　11岁男孩西里尔（托马斯•多雷 Thomas Doret 饰）被送到了儿童福利院，他的父亲盖伊（杰瑞米•雷乃 Jérémie Renier 饰）不辞而别。西里尔迫切地希望与父亲见面，于是千方百计逃脱学监的看管，并引发了争执。他来到了父亲之前租住的房屋吃了闭门羹，还遭到了邻居的驱逐。他被学监带回了福利院，却开始寻找当时父亲买给他的单车。后来，好心的理发师萨曼莎（西西•迪•法兰丝 Cécile De France 饰）帮助西里尔买回了那辆已经被盖伊出售的单车。他骑着单车，继续寻找父亲。萨曼莎动了恻隐之心，帮她联系了盖伊。父子终于再度重逢，原来西里尔的母亲离家出走之后，盖伊深感无力扶养西里尔，为了在自己的料理店开始新生活，他希望萨曼莎帮人帮到底，照顾西里尔。然而，西里尔感受到被盖伊遗弃的痛苦，拼命地保护着单车，甚至为此结识了一群未成年毒贩，游走在犯罪的边缘...
                            "
id： film2007 - 独行杀手 Le samouraï,独行杀手 Le samouraï,8.4,参评人数： 16631,类型： 剧情 悬疑 惊悚 犯罪,制片国家:  法国 / 意大利,语言:  法语,上映日期： 1967-10-25(法国),片长： 105 分钟,又名:  武士 / 午后七点零七分 / The Godson,导演: 让-皮埃尔·梅尔维尔,编剧: 让-皮埃尔·梅尔维尔 Georges Pellegrin,主演: 阿兰·德龙 / 弗朗索瓦·佩里埃 / 娜塔丽·德隆 / 凯茜·罗齐尔 / Jacques Leroy,豆瓣链接：https://movie.douban.com/subject/1300966/,IMDb链接： https://www.imdb.com/title/tt0062229,"简介： 
                                　　杰夫（阿兰·德龙 Alain Delon 饰）是一名沉默寡言的杀手，他住在一间旅馆里，仅与一只鸟为伴。独来独往的他接到委托暗杀俱乐部的老板，尽管行动天衣无缝，但警察还是扣押了他。钢琴女马蕾莉（凯茜·罗齐尔 Cathy Rosier 饰）认出了杰夫就是当天的可疑男子，但她却选择了包庇杰夫，这使杰夫心生疑虑。杰夫找到中间人结算工钱，没想到中间人开枪打伤了他。逃过一劫的杰夫暗中查明了雇主的身份，找到并且杀死了他，但同时，他发现，当初袒护他的马蕾莉，居然是雇主的情人。心情复杂的杰夫举着手枪来到俱乐部质问马蕾莉，却被早已埋伏在此的警察乱枪打死，事后，警察们发现，杰夫的手枪中并没有子弹，他这一行为的意义也成为了一个永远的秘密。
                        "
id： film2008 - 森林好小子 燃える！お兄さん,森林好小子 燃える！お兄さん,8.8,参评人数： 12980,类型： 动作 动画,制片国家:  日本,语言:  日语,上映日期： 1988-03-14(日本),片长：,又名:  Forest Boy,导演: 小林治 佐佐木和宏 红优 森健 横山广行 殿胜秀树 松园公,编剧: 寺田宪史 大桥志吉 静谷伊佐夫 会川升,主演: 矢尾一树 / 本多知惠子 / 松冈洋子 / 池田秀一 / 屋良有作 / 速水奖 / 山本百合子 / 林原惠美 / 松井菜樱子 / 富泽美智惠 / 绪方贤一 / 泽木郁也 / 松冈文雄 / 大泷进矢 / 堀内贤雄 / 田中秀幸,豆瓣链接：https://movie.douban.com/subject/1794793/,IMDb链接： http://pierrot.jp/archives/tv_list_1985/tv_018.html https://www.imdb.com/title/tt7722438,"简介： 
                                　　自幼在森林里长大的男孩卡内奇跟随抚养他的爷爷生活，他得到爷爷真传，性格单纯，武功高强，加上同样身世不明的女孩嘉惠以及狼族好哥们儿福利霸，卡内奇的生活无忧无虑。偶然机缘，他意外重逢了失散13年之久的家人，顺理成章卡内奇也回到位于大都市的家中生活。秃头老爹、懦弱老弟还有可爱的妹妹，古哈一家增添了不少的麻烦与乐趣。等到了学校后，围绕卡内奇各种各样的乐事继续升级，大恶人西多、帅到爆的成大龙、超级自恋的洛基，一群智商与情商都有问题的家伙点缀着卡内奇从未体验过的校园生活……
                                     
                                　　本片根据佐藤正创作连载于集英社周刊《少年Jump》的漫画作品《燃烧吧！大哥》改编，剧情中人名均以国内流通的版本为准。
                        "
id： film2009 - 屌丝男士 第四季,屌丝男士 第四季,7.3,参评人数： 18074,类型： 喜剧,制片国家:  中国大陆,语言:  汉语普通话,上映日期： 2015-05-20(中国大陆),片长：,又名:  Diors Man 4,导演: 大鹏,编剧: 大鹏 玛蒂娜·希尔 韩庚 范冰冰 郑容和 柳岩 贾玲 乔杉 袁姗姗 周韦彤,类型:,豆瓣链接：https://movie.douban.com/subject/25890928/,IMDb链接：,"简介： 
                                　　搜狐 视频宣布，其王牌自制节目《屌 丝男士》系列第四季将于近期开拍。 在其开机发布会上，搜狐视频宣布来 自德国的“屌丝女士”玛蒂娜·希尔将加 盟《屌丝男士》第四季。
                        "
id： film2010 - 女主角 Leading Lady Parts,女主角 Leading Lady Parts,8.7,参评人数： 16069,类型： 喜剧 短片,制片国家:  英国,语言:  英语,上映日期： 2018-07-30(英国),片长： 8分钟,又名:  试镜,导演: 杰西卡·斯维尔,编剧: 杰西卡·斯维尔,主演: 杰玛·阿特登 / 嘉玛·陈 / 艾米莉亚·克拉克 / 琳娜·海蒂 / 汤姆·希德勒斯顿 / 菲丽希缇·琼斯 / 梁佩诗 / 斯塔西·马汀 / 乌米·马萨库 / 弗洛伦丝·皮尤 / 凯瑟琳·塔特 / 安东尼·威尔士,豆瓣链接：https://movie.douban.com/subject/30287738/,IMDb链接： https://www.imdb.com/title/tt8743180,"简介： 
                                　　英国著名喜剧作家杰西卡·斯韦尔与BBC合作拍了一部讽刺短片：《女主角》，讲述了演艺圈中关于选角的不平等潜规则......
                        "
