id： film6013 - 亲爱的，我把我们缩小了 Honey We Shrunk Ourselves,"亲爱的，我把我们缩小了 Honey, We Shrunk Ourselves!",7.4,参评人数： 4824,类型： 喜剧 动作 科幻 家庭 冒险,制片国家:  美国,语言:  英语,上映日期： 1997-03-18,片长： 74 分钟,又名:,导演: 迪恩·康迪,编剧: Joel Hodgson Karey Kirkpatrick Nell Scovell,主演: 里克·莫拉尼斯 / 罗宾·巴利特 / 米拉·库尼斯 / JoJo Adams / Bryson Aust / Allison Mack,豆瓣链接：https://movie.douban.com/subject/1304522/,IMDb链接： https://www.imdb.com/title/tt0119310,"简介： 
                                　　乌龙科学家韦恩（里克·莫拉尼斯 Rick Moranis饰），再次错误操作他危险的科学实验，而这回的“受害者”是他自己跟哥哥，还有他们的妻子。在这次事故中，四个大人被瞬间缩小到连葡萄干都不到的尺寸，只能用放大镜才能看见他们。他们跟“庞然大物”蟑螂斗智斗勇，更要想方设法让他们的孩子得知这个消息。可毫不知情的孩子们，丁点儿也没发现他们的家长都被缩小的事实，他们根本听不到大人们如蚊子叫般的求助声。绝望的四个大人该怎样向孩子们求救呢？
                                     
                                　　《亲爱的，我把孩子缩小了》跟《亲爱的，我把孩子放大了》的好戏意犹未尽，这回上演的是大人们的惊险奇遇记。
                        "
id： film6014 - 抛掉书本上街去 書を捨てよ町へ出よう,抛掉书本上街去 書を捨てよ町へ出よう,8.4,参评人数： 4384,类型： 剧情 音乐,制片国家:  日本,语言:  日语,上映日期： 1971-04-24(日本),片长： 137分钟,"又名:  抛下书本，跑上街 / Throw Away Your Books, Rally in the Streets / Sho o suteyo machi e deyou",导演: 寺山修司,编剧: 寺山修司,主演: 佐佐木英明 / 齐藤正志 / 平泉成 / 美轮明宏 / 新高恵子 / J.A. Seazer,豆瓣链接：https://movie.douban.com/subject/1401520/,IMDb链接： https://www.imdb.com/title/tt0228853,"简介： 
                                　　少年北村英明（佐々木英明 饰）生活在一个充满绝望、腐烂气息的家庭中。48岁的父亲（斎藤正治 饰）曾是陆军的上等兵，退伍后整天呆在家里无所事事，沉湎于自渎的堕落快感中；祖母（田中筆子 饰）老年痴呆，不问家务，还有偷窃的毛病；妹妹（小林由起子 饰）与周围的人完全没有交流，却和心爱的兔子发展出异乎寻常的亲密关系。校足球队的教练近江（平泉征 饰）对英明青眼有加，通过近江的引领，英明在花街柳巷献出了自己的第一次。妹妹和兔子的关系引起家人的焦虑，隔壁的金先生（下馬二五七 饰）偷偷杀掉兔子。绝望的妹妹勾引校足球的队员，结果反被球员们轮暴。
                                     
                                　　黯淡的青春破碎滴血，没有希望。
                        "
id： film6015 - 给我钱 第6季 Show Me The Money 6,给我钱 第6季 Show Me The Money 6,9.1,参评人数： 5087,类型： 音乐 真人秀,制片国家:  韩国,语言:  韩语,上映日期： 2017-06-30(韩国),片长：,又名:,导演: 禹智皓 权革 朴宰范 李峻京 尹松 崔子 徐正权 朴俊荣,编剧:,音乐,豆瓣链接：https://movie.douban.com/subject/26966833/,IMDb链接： http://onair.mnet.com/smtm6,"简介： 
                                    　　Show Me The Money 6（朝鲜语：쇼미더머니 6，简称：SMTM6）是韩国Mnet频道制作并播出的Hiphop选秀节目，为Show Me The Money系列的第六季，[1]于2017年6月30日[2]起每逢周五晚间播出。
                                         
                                    　　SMTM第六季的4组制作人团队分别由Zico、DEAN；[3]朴载范、Dok2；[4]Dynamic Duo的GAEKO、崔子[5]和Tiger JK、Bizzy[6]组成。[7]此季吸引了比往季更多的参赛者，超过13000名选手参赛也是SMTM历史上参赛人数最多的一季，包括Qwala、Hash Swan、myunDo、LTAK、NO:EL[8]、Hanhae[9]、PUNCHNELLO、Olltii、郑尚洙、Nucksal、Candle、Kanto[9]、Junoflo、Truedy、KASPER、P-Type、...
                            "
id： film6016 - 魔女裁判,魔女裁判,7.0,参评人数： 5200,类型： 剧情,制片国家:  日本,语言:  日语,上映日期： 2009-04-25(日本),片长：,又名:  魔女审判,导演: 加藤裕将 小原一隆,编剧: 前川洋一,主演: 生田斗真 / 加藤爱 / 比嘉爱未 / 石田百合子 / 铃木亮平 / 忽那汐里 / 末永遥 / 中村靖日 / 山谷初男 / 平方元基 / 中村果生莉,豆瓣链接：https://movie.douban.com/subject/3730702/,IMDb链接： https://www.imdb.com/title/tt1422340,"简介： 
                                　　看似和普通人没什么关联的法庭审判，即将和普通人变得有联系起来。从2009年5月份起，陪审员要从普通民众中选拔出来。基于这条法律，《魔女审判》的故事就此上演。
                                     
                                　　自由职业者吉冈彻（生田斗真 饰）为了生存不得不四处打工，但他天性开朗且乐于助人。这样的彻被选中成为陪审员，结识了评审渡部泉（加藤爱 饰）。无法对泉置之不理的彻帮助了她，而使自己卷进了一系列案件之中。这些事件似乎都和审判的案件相关联，被称为“魔女”的被告寄希望于用钱收买陪审员。彻在成为陪审员后，经历了全新的人生，并对法律、人性都有了不一样的认识，而最后彻能否抵住诱惑坚守住自己呢？
                        "
id： film6017 - 传说的拳头 전설의 주먹,传说的拳头 전설의 주먹,6.9,参评人数： 4305,类型： 动作,制片国家:  韩国,语言:  韩语,上映日期： 2013-04-12(美国),片长： 154分钟,又名:  Fists of Legend,导演: 康佑硕,编剧: 张珉锡,主演: 黄政民 / 尹宰文 / 刘俊相 / 李枖原 / 郑雄仁 / 金英玉,豆瓣链接：https://movie.douban.com/subject/10748092/,IMDb链接： https://www.imdb.com/title/tt2828840,"简介： 
                                　　曾经胸怀奥运拳王梦想的林德奎（黄正民 饰），人过中年其人生几近完败，他所经营的面馆门可罗雀，与女儿的关系又紧张非常。在此关头，他半推半就参加了赏金丰厚的“格斗真人秀”。不鸣则已，一鸣惊人，林德奎接连击败强劲对手，与黑社会小混混申载硕（尹济文 饰）的对决更令现场和电脑、电视机前的观众大为惊叹。节目收视率直线攀升，林德奎不仅拥有自己的坚实拥趸，连面馆的生意也顺带好了起来。不久之后，拳台另一角走来青年时代的好哥们，日常跟在老板屁股后面点头哈腰的某企业部长李尚勋（柳俊相 饰）。生活在彼此的心头蒙下厚厚尘土，是时候用拳头击碎虚伪的面具了……
                                     
                                　　本片根据韩国人气网络漫画改编。
                        "
id： film6018 - 20世纪少年第二部 最后的希望 20世紀少年 第2章 最後の希望,20世纪少年：第二部 最后的希望 20世紀少年 第2章 最後の希望,6.7,参评人数： 4636,类型： 剧情,制片国家:  日本,语言:  日语,上映日期： 2009-01-31,片长： 139 分钟,又名:  20世纪少年：最后的希望 / 20世纪少年2 / 20th Century Boys: Chapter Two - The Last Hope,导演: 堤幸彦,编剧: 长崎尚志 渡边雄介 浦泽直树,主演: 丰川悦司 / 平爱梨 / 木南晴夏 / 唐泽寿明 / 常盘贵子 / 香川照之 / 藤木直人 / 小日向文世 / 佐佐木藏之介 / 森山未来 / 古田新太 / 小池荣子,豆瓣链接：https://movie.douban.com/subject/2980436/,IMDb链接： http://www.20thboys.com/ https://www.imdb.com/title/tt1181920,"简介： 
                                    　　2000年血腥除夕夜，贤知（唐泽寿明 饰）一派拼尽全力阻挠“朋友”的人类灭绝计划，但他们的反抗以失败告终。是夜过后，贤知一派被诬为屠杀人类的恐怖分子，而“朋友”则堂而皇之成为了救世主，为万众膜拜和敬仰。
                                         
                                    　　2015年，贤知的甥女远藤神乃（平爱梨 饰）已成长为特立独行的青春女孩，她十分反感教科书对舅舅的污蔑，经常和老师发生争论。最终，校方决定将她和另一位曾对血腥除夕夜提出质疑的女孩小泉响子（木南晴夏 饰）送入“朋友乐园”。与此同时，曾在“朋友乐园”接受改造的异装癖男子偶然得知“朋友”的秘密，被警方杀害。目睹这一幕的神乃决定进入“朋友乐园”一探究竟。
                                         
                                    　　另一方面，新的万国博览会将在日本召开，罗马教宗亦会在此时造访日本。被关在萤火虫集中营的阿区（丰川悦司 饰）越狱而出，贤知一派幸存的同志们纷纷聚首。在这个暗潮汹涌的时刻，人类的命运将再次改写……
                                         
                                    　　本片根据浦泽直...
                            "
id： film6019 - 我的朋友很少 第二季 僕は友達が少ないNEXT,我的朋友很少 第二季 僕は友達が少ないNEXT,7.5,参评人数： 5027,类型： 剧情 动画,制片国家:  日本,语言:  日语,上映日期： 2013-01-10,片长：,又名:  我的后宫很多（雾）,导演: 喜多幡彻 别所诚人 荒井省吾 高桥成世 森义博 仁昌寺义人 笹原嘉文 高林久弥 岩田义彦,编剧: 浦畑达彦 砂山藏澄,主演: 木村良平 / 井上麻里奈 / 伊藤加奈惠 / 山本希望 / 福圆美里 / 花泽香菜 / 井口裕香 / 柚木凉香 / 置鲇龙太郎,豆瓣链接：https://movie.douban.com/subject/11533382/,IMDb链接： http://www.tbs.co.jp/anime/haganai,"简介： 
                                　　故事主要讲述了就读于圣克罗尼亚学园高中部的溷血儿羽濑川小鹰，在某一天看到了美少女三日月夜空一个人愉悦地说着话，之后两人便开始聊起关于如何交朋友的话题。而没想到夜空建立了一个以交朋友为目的问题社团──邻人部，各种问题美少女先后申请入社。就这样这部残念系青春恋爱喜剧拉开帷幕了……
                        "
id： film6020 - 鬼使神差 The Messengers,鬼使神差 The Messengers,6.1,参评人数： 4538,类型： 剧情 悬疑 恐怖,制片国家:  美国,语言:  英语,上映日期： 2007-02-02,片长： USA: 90 分钟,又名:  鬼差 / 信使,导演: 彭发 彭顺,编剧: 马克·惠顿 Todd Farmer,主演: 克里斯汀·斯图尔特 / 迪伦·麦克德莫特 / 佩内洛普·安·米勒 / 约翰·考伯特 / Evan Turner / Theodore Turner / 威廉·B·戴维斯 / 布兰特·布里斯科 / 达斯汀·米利甘 / 祖蒂·弗兰 / Michael Daingerfield / 塔提阿娜·玛斯拉尼 / Shirley McQueen / 安娜·哈根 / Blaine Hart,豆瓣链接：https://movie.douban.com/subject/1584898/,IMDb链接： http://www.lesmessagers-lefilm.com https://www.imdb.com/title/tt0425430,"简介： 
                                　　由于工作和家庭问题一团糟，罗伊·所罗门（迪兰·麦克德莫特 Dylan McDermott饰）和妻子丹妮丝（佩内洛普·安·米勒 Penelope Ann Miller饰）带着正处在青春躁动期的女儿杰西（克里斯汀·斯图尔特 Kristen Stewart饰）和小儿子本（伊万·特纳 Evan Turner 饰），从熙熙攘攘的大都会芝加哥来到了荒凉的北达科他州。他们在当地购买了一座名为“向日葵”的废弃农场，打算在这里展开新的人生。
                                     
                                　　然而，美好的憧憬往往为残酷的现实所打破。在农场修缮过程中，诡异的事件不断出现，杰西和弟弟仿佛也能看见一些成人看不到的东西。阴森的气氛压得这家人几乎透不过气来，但真正恐怖的事情还远远不止于此……
                        "
id： film6021 - 百变大咖秀 第一季,百变大咖秀 第一季,8.3,参评人数： 4978,类型： 真人秀,制片国家:  中国大陆,语言:  汉语普通话,上映日期： 2012-07-12(中国大陆),片长：,又名:  Your Face Sounds Familiar Season 1,导演: 何炅 谢娜,编剧:,真人秀,豆瓣链接：https://movie.douban.com/subject/25894460/,IMDb链接：,"简介： 
                                　　《百变大咖秀》是湖南卫视在2012年7月频道改版期间推出的晚间22点档综艺节目，版权引自西班牙原创综艺节目《Your Face Sounds Familiar》。节目以艺人明星模仿别的明星为主，节目名称在频道宣传中原定为《绝对大牌》，后于正式播出期间改为《百变大咖秀》。
                        "
id： film6022 - 毫不保留的爱 せいせいするほど、愛してる,毫不保留的爱 せいせいするほど、愛してる,4.6,参评人数： 5212,类型： 爱情,制片国家:  日本,语言:  日语,上映日期： 2016-07-12(日本),片长：,又名:  爱上副社长(台) / 轻松爱你,导演: 石井康晴 山本伸吾 池田克彦,编剧: 北川美幸 李正姫 渡边真子 井上圣司,主演: 武井咲 / 泷泽秀明 / 中村苍 / 水泽绘玲奈 / 特林德尔·玲奈 / 中村隼人 / 高桥光臣 / 桥本爱实 / 神野三铃 / 松平健 / 木南晴夏,豆瓣链接：https://movie.douban.com/subject/26788937/,IMDb链接： http://www.tbs.co.jp/seiseisuruhodo_love/ https://www.imdb.com/title/tt5757332,"简介： 
                                　　栗原未亚（武井咲 饰）是珠宝公司宣传部的职员，和男友阳太（高桥光臣 饰）交往多年，彼此之间感情一直十分要好。未亚对未来的婚姻生活充满了憧憬，她坚信自己能够在家庭和工作之间周旋自如。
                                     
                                　　某日，未亚收到了来自阳太的求婚，可是未亚却无法高兴起来，因为阳太坚持认为未亚婚后应该辞掉工作，专心的做一名全职太太，妻子一边工作一边兼顾家庭是他无论如何也无法接受的。无奈之下，未亚结束了这段爱情长跑，身心俱疲的她只能将全部心思放到了工作之中。之后，未亚结识了名为三好海里（泷泽秀明 饰）的男子，后者是她的上司，公司的副社长。随着时间的推移，未亚渐渐爱上了成熟稳重的海里，哪知道海里已经结婚有了家庭，在情感和道德之间，未亚必须做出选择。
                        "
